"sample_ID","sample_name","analyte","group","extraction_sequence","extract_code","extract","fraction","ppb_blank_corr","ug_g","mg_g"
"CRESS_004","61049_53_TOP","La","REEs","Soil Sequence","B","B: water","B: water-extractable",0.25,0,0
"CRESS_004","61049_53_TOP","Ce","REEs","Soil Sequence","B","B: water","B: water-extractable",0.66,0.01,0
"CRESS_004","61049_53_TOP","Pr","REEs","Soil Sequence","B","B: water","B: water-extractable",0.08,0,0
"CRESS_004","61049_53_TOP","Nd","REEs","Soil Sequence","B","B: water","B: water-extractable",0.41,0.01,0
"CRESS_004","61049_53_TOP","Sm","REEs","Soil Sequence","B","B: water","B: water-extractable",0.1,0,0
"CRESS_004","61049_53_TOP","Eu","REEs","Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_004","61049_53_TOP","Gd","REEs","Soil Sequence","B","B: water","B: water-extractable",0.11,0,0
"CRESS_004","61049_53_TOP","Tb","REEs","Soil Sequence","B","B: water","B: water-extractable",0.01,0,0
"CRESS_004","61049_53_TOP","Dy","REEs","Soil Sequence","B","B: water","B: water-extractable",0.07,0,0
"CRESS_004","61049_53_TOP","Ho","REEs","Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_004","61049_53_TOP","Er","REEs","Soil Sequence","B","B: water","B: water-extractable",0.03,0,0
"CRESS_004","61049_53_TOP","Tm","REEs","Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_004","61049_53_TOP","Yb","REEs","Soil Sequence","B","B: water","B: water-extractable",0.03,0,0
"CRESS_004","61049_53_TOP","Lu","REEs","Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_004","61049_53_TOP","Sc",,"Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_004","61049_53_TOP","Cr",,"Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_004","61049_53_TOP","Y",,"Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_004","61049_53_TOP","Mo",,"Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_005","61049_53_TOP","Li","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",0.58,0.03,0
"CRESS_005","61049_53_TOP","Mg","cations","Soil Sequence","B","B: water","B: water-extractable",193.39,3.87,0
"CRESS_005","61049_53_TOP","Al","cations","Soil Sequence","B","B: water","B: water-extractable",388.75,7.78,0.01
"CRESS_005","61049_53_TOP","Si","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",812.87,16.26,0.02
"CRESS_005","61049_53_TOP","K","cations","Soil Sequence","B","B: water","B: water-extractable",4248.2,85.07,0.09
"CRESS_005","61049_53_TOP","Ca","cations","Soil Sequence","B","B: water","B: water-extractable",135.97,2.72,0
"CRESS_005","61049_53_TOP","Mn","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",11.12,0.22,0
"CRESS_005","61049_53_TOP","Fe","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",217.04,4.34,0
"CRESS_005","61049_53_TOP","Co","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",0.23,0,0
"CRESS_005","61049_53_TOP","Ni","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",0.41,0.01,0
"CRESS_005","61049_53_TOP","Cu","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",1.32,0.03,0
"CRESS_005","61049_53_TOP","Zn","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",1.89,0.07,0
"CRESS_005","61049_53_TOP","Sr","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",9.42,0.19,0
"CRESS_005","61049_53_TOP","Ba","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",12.29,0.25,0
"CRESS_005","61049_53_TOP","La","REEs","Soil Sequence","B","B: water","B: water-extractable",0.24,0,0
"CRESS_005","61049_53_TOP","Ce","REEs","Soil Sequence","B","B: water","B: water-extractable",0.62,0.01,0
"CRESS_005","61049_53_TOP","Pr","REEs","Soil Sequence","B","B: water","B: water-extractable",0.07,0,0
"CRESS_005","61049_53_TOP","Nd","REEs","Soil Sequence","B","B: water","B: water-extractable",0.35,0.01,0
"CRESS_005","61049_53_TOP","Sm","REEs","Soil Sequence","B","B: water","B: water-extractable",0.1,0,0
"CRESS_005","61049_53_TOP","Eu","REEs","Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_005","61049_53_TOP","Gd","REEs","Soil Sequence","B","B: water","B: water-extractable",0.1,0,0
"CRESS_005","61049_53_TOP","Tb","REEs","Soil Sequence","B","B: water","B: water-extractable",0.01,0,0
"CRESS_005","61049_53_TOP","Dy","REEs","Soil Sequence","B","B: water","B: water-extractable",0.06,0,0
"CRESS_005","61049_53_TOP","Ho","REEs","Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_005","61049_53_TOP","Er","REEs","Soil Sequence","B","B: water","B: water-extractable",0.03,0,0
"CRESS_005","61049_53_TOP","Tm","REEs","Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_005","61049_53_TOP","Yb","REEs","Soil Sequence","B","B: water","B: water-extractable",0.03,0,0
"CRESS_005","61049_53_TOP","Lu","REEs","Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_005","61049_53_TOP","Sc",,"Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_005","61049_53_TOP","Cr",,"Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_005","61049_53_TOP","Y",,"Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_005","61049_53_TOP","Mo",,"Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_006","61049_53_TOP","Li","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",0,0,0
"CRESS_006","61049_53_TOP","Mg","cations","Soil Sequence","B","B: water","B: water-extractable",192.38,3.85,0
"CRESS_006","61049_53_TOP","Al","cations","Soil Sequence","B","B: water","B: water-extractable",388.72,7.77,0.01
"CRESS_006","61049_53_TOP","Si","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",871.38,17.43,0.02
"CRESS_006","61049_53_TOP","K","cations","Soil Sequence","B","B: water","B: water-extractable",4074.31,81.59,0.08
"CRESS_006","61049_53_TOP","Ca","cations","Soil Sequence","B","B: water","B: water-extractable",144.39,2.89,0
"CRESS_006","61049_53_TOP","Mn","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",11.47,0.23,0
"CRESS_006","61049_53_TOP","Fe","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",210.6,4.21,0
"CRESS_006","61049_53_TOP","Co","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",0.21,0,0
"CRESS_006","61049_53_TOP","Ni","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",0.42,0.01,0
"CRESS_006","61049_53_TOP","Cu","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",1.36,0.03,0
"CRESS_006","61049_53_TOP","Zn","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",1.13,0.06,0
"CRESS_006","61049_53_TOP","Sr","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",9.74,0.19,0
"CRESS_006","61049_53_TOP","Ba","CMMs and metals","Soil Sequence","B","B: water","B: water-extractable",12.87,0.26,0
