,Li,Mg,Al,Si,K,Ca,Mn,Fe,Co,Ni,Cu,Zn,Sr,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
Sample Name,(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb),(ppb)
CRESS Blank Water ,1.077,0.194,<1,<5,5.077,<10,0.039,<0.1,<0.01,<0.01,0.005,1.704,0.005,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01,<0.01
CRESS_011A DTPA,<2,23385.044,8823.568,6690.809,30620.363,33828.891,15899.26,11400.448,209.091,133.341,1239.436,1038.493,1241.707,641.568,727.185,1597.368,161.311,592.53,122.02,26.528,117.96,15.393,91.533,15.542,40.264,4.728,29.342,3.472
CRESS_012A DTPA,<2,23761.45,8955.939,6246.692,31077.101,34272.625,15203.499,10626.74,192.564,123.537,1125.076,945.084,1293.307,671.592,623.819,1457.328,147.545,538.942,111.442,24.361,107.351,14.22,85.265,14.897,38.529,4.575,28.044,3.36
CRESS_013A DTPA,<2,27066.114,33628.922,6582.035,343.463,14537.907,222.319,102790.303,40.229,901.322,1596.699,36.908,624.606,880.022,871.293,1809.874,221.341,822.078,175.504,40.029,181.084,22.907,135.753,24.213,61.67,7.591,47.132,6.267
CRESS_014A DTPA,<2,25930.711,32255.447,8006.009,325.001,14676.694,219.289,104565.666,39.778,923.706,1597.296,31.811,613.869,843.457,826.789,1840.964,230.922,884.442,185.217,41.946,189.159,23.702,141.048,25.688,67.043,7.966,49.598,6.858
CRESS_015A DTPA,<2,25194.659,33115.933,6941.552,366.597,14234.316,207.337,99765.297,39.907,870.294,1542.373,64.03,612.48,892.903,738.662,1632.16,211.464,805.565,171.36,38.695,174.534,22.082,130.485,23.091,60.406,7.241,44.945,6.034
CRESS_016A DTPA,<2,28653.22,10562.691,4006.071,2267.057,18834.561,73848.619,59819.404,314.092,721.88,1329.825,3235.664,323.659,729.165,2225.993,2927.93,518.342,1875.939,400.026,85.604,395.045,48.35,266.869,46.605,115.662,13.338,76.834,9.693
CRESS_017A DTPA,<2,28724.712,10754.618,3847.613,2249.444,18368.882,73510.423,60005.99,314.506,733.141,1349.458,3203.618,328.123,722.402,1922.825,2655.167,508.966,1865.628,402.715,90.256,405.094,49.012,271.922,47.622,117.238,13.764,78.154,9.968
CRESS_018A DTPA,<2,28755.609,10391.832,3881.956,2313.682,18473.139,73329.86,58880.362,314.938,714.116,1329.336,3215.865,322.525,701.816,1857.89,2731.025,506.601,1863.946,397.842,87.925,391.992,49.266,269.829,46.451,114.479,13.26,76.809,9.993
CRESS_019A DTPA,<2,16254.984,688.668,8254.193,6942.921,84291.785,2137.924,237.96,5.836,8.561,1966.37,71.717,668.761,183.157,173.203,226.881,44.624,177.834,38.754,7.944,38.268,5.31,32.543,5.878,16.323,2.035,14.299,1.833
CRESS_020A DTPA,<2,14766.052,695.035,8160.774,6257.043,79527.905,1865.694,236.409,5.3,7.259,1701.51,62.655,612.346,166.574,144.264,193.335,36.106,140.487,30.139,6.195,29.558,4.026,25.528,4.523,12.963,1.492,11.031,1.353
CRESS_021A DTPA,<2,15319.897,674.855,7843.596,6317.447,82862.116,1947.213,232.466,5.299,8.077,1781.95,65.811,636.027,175.414,164.441,213.962,41.792,164.425,37.229,7.494,36.967,4.827,29.332,5.328,15.425,1.982,12.589,1.651
CRESS Blank Dithionite,<2,47.501,20.538,<20,<100,142.253,2.539,72.4,<0.2,2.106,58.145,7.426,5.997,1.221,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2
CRESS_001D Dithionite,<2,1796.144,3101.76,4885.777,2469.32,151.482,83.498,167911.832,6.116,7.027,25.924,111.712,28.303,86.992,10.261,25.296,1.102,3.4,0.479,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2
CRESS_002D Dithionite,<2,1905.976,2943.033,4101.12,2880.692,124.24,80.449,164993.04,6.529,6.891,16.999,111.625,32.98,90.692,10.167,25.085,1.238,2.876,0.086,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2
CRESS_003D Dithionite,<2,1690.705,3105.086,3245.137,2767.499,175.368,74.21,153419.443,5.867,5.9,17.487,102.277,31.279,92.306,9.893,23.714,1.031,3.008,0.349,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2
CRESS_004D Dithionite,<2,306.327,523.937,447.536,308.681,263.898,1316.279,5364.758,11.038,4.874,27.635,13.093,17.708,119.67,<0.2,0.081,<0.2,0,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2
CRESS_005D Dithionite,<2,298.181,390.26,392.934,<100,315.796,1280.282,4971.873,10.825,4.488,27.712,10.564,16.353,103.458,<0.2,0.013,<0.2,-0.119,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2
CRESS_006D Dithionite,<2,793.696,1517.282,1540.234,214.819,331.423,1568.815,52064.534,16.848,5.848,37.967,46.619,23.181,133.184,0.336,0.825,<0.2,0.131,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2
CRESS_007D Dithionite,<2,881.49,1402.574,3120.68,553.86,479.549,17332.791,199249.549,149.603,41.928,105.808,120.392,15.346,143.063,6.079,34.833,1.744,8.054,1.558,<0.2,1.731,<0.2,1.128,<0.2,<0.2,<0.2,<0.2,<0.2
CRESS_008D Dithionite,<2,752.892,1226.316,3397.295,<100,409.501,17169.374,186483.53,142.897,43.269,84.594,96.288,13.751,132.819,5.997,35.327,1.604,8.298,1.864,<0.2,1.639,<0.2,1.146,<0.2,<0.2,<0.2,<0.2,<0.2
CRESS_009D Dithionite,<2,746.402,1788.229,3182.413,<100,422.493,18844.905,173576.608,154.026,43.597,90.515,114.386,12.93,167.658,5.971,35.271,1.682,6.641,1.491,<0.2,1.499,<0.2,0.873,<0.2,<0.2,<0.2,<0.2,<0.2
CRESS_010D Dithionite,<2,1144.495,1546.889,2132.886,918.803,712.552,914.576,55143.064,16.675,13.657,172.46,61.442,32.481,96.023,0.682,1.418,<0.2,0.052,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2
CRESS_011D Dithionite,<2,1066.506,1545.884,2023.881,926.355,581.8,866.478,57751.707,15.955,15.037,173.227,63.287,30.497,93.133,0.763,1.66,<0.2,0.048,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2
CRESS_012D Dithionite,<2,1149.115,1460.442,1986.699,982.526,705.649,1065.976,52822.492,16.723,16.831,163.385,62.736,32.28,131.901,0.685,1.285,<0.2,0.144,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2
CRESS_013D Dithionite,<2,1858.652,1878.333,3392.349,<100,499.843,500.962,11105.148,13.832,13.637,32.018,25.482,19.31,102.125,0.241,0.465,<0.2,-0.053,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2
CRESS_014D Dithionite,<2,2354.998,2185.262,3257.645,<100,469.903,501.89,18351.127,14.864,14.816,53.131,27.83,21.487,150.964,0.38,0.729,<0.2,0.161,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2
CRESS_015D Dithionite,<2,2086.549,1995.042,3027.321,<100,531.486,574.125,18303.817,13.657,15.965,53.221,26.171,21.692,149.729,0.397,0.803,<0.2,0.159,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2
CRESS_016D Dithionite,<2,416.343,866.394,773.515,<100,371.01,10199.415,10652.727,45.73,18.962,43.887,46.986,10.44,145.018,0.348,1.685,<0.2,0.287,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2
CRESS_017D Dithionite,<2,371.258,892.844,713.353,<100,329.7,9051.256,9078.825,41.943,18.598,37.822,40.33,9.905,135.039,0.286,1.334,<0.2,0.056,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2
CRESS_018D Dithionite,<2,400.531,901.267,737.589,<100,402.872,10649.18,10711.083,48.701,21.112,45.493,53.97,9.303,142.823,0.387,1.527,<0.2,0.088,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2
CRESS_019D Dithionite,<2,4179.64,289.566,584.211,<100,4943.338,1721.485,564.487,11.793,13.978,59.435,6.37,33.788,121,<0.2,<0.2,<0.2,-0.23,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2
CRESS_020D Dithionite,<2,4520.364,256.655,474.974,<100,5280.673,1998.256,563.249,14.207,15.888,64.427,8.222,29.587,133.924,<0.2,<0.2,<0.2,-0.143,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2
CRESS_021D Dithionite,<2,4708.266,292.249,529.172,<100,5946.351,2349.707,608.158,16.472,15.44,86.349,7.053,35.574,146.392,<0.2,0.25,<0.2,-0.173,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2
CRESS Blank Pyrophosphate,<2,<2,149.294,<5,<100,109.367,2.345,207.146,<0.2,13.755,4.665,42.396,7.749,20.492,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,<0.2,0.262,<0.2
CRESS_001E Pyrophosphate,<2,963.958,11689.072,4169.642,1866.891,142.497,30.403,62986.734,1.936,9.405,3.708,77.161,18.056,64.925,27.642,67.394,3.214,8.625,0.967,<0.2,1.085,0.119,0.582,<0.2,0.218,<0.2,0.895,<0.2
CRESS_002E Pyrophosphate,<2,663.696,9754.153,3809.184,1649.617,130.882,24.653,48748.869,1.356,9.046,1.705,66.314,16.152,55.111,24.89,58.689,3.076,8.286,1.505,<0.2,0.893,0.125,0.493,<0.2,0.127,<0.2,0.567,<0.2
CRESS_003E Pyrophosphate,<2,688.43,9314.753,3527.14,1440.915,140.112,26.821,46809.945,1.261,10.554,2.14,71.446,15.644,52.978,21.052,49.093,2.569,7.303,1.133,<0.2,0.482,0.091,0.23,<0.2,0.04,<0.2,0.621,<0.2
CRESS_004E Pyrophosphate,<2,95.294,2696.846,674.575,336.141,197.757,245.688,10529.662,1.46,5.747,1.829,35.718,10.785,54.212,7.744,20.859,2.226,12.903,2.509,0.442,2.436,0.276,1.124,<0.2,0.436,<0.2,0.912,<0.2
CRESS_005E Pyrophosphate,<2,11.983,2511.691,636.597,256.581,175.205,231.264,9849.808,1.427,5.732,1.785,37.288,9.998,50.838,6.827,19.321,2.179,11.06,2.432,0.295,2.274,0.22,1.156,<0.2,0.319,<0.2,0.899,<0.2
