,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S,13C,15N,18O,34S
68,196,210.1582390561423,210.15806708643316,210.15805833094907,5554208.582232784,55.12465370330493,947487.2119194714,29.37356053683157,-1,0.041661424541064744,0.9996851137664254,0.999989311544663,0.9998067928777203,3.0,0.15384615384615385,1.6923076923076923,13C1 O2,de-protonated,,1.0,191.0,C12 H22 O2 13C1,12.0,22.0,2.0,,,,1.0,,,
69,200,211.0613853269185,211.06121267690727,211.06119703228907,2143031.3066732045,48.12402755479669,860998.831171405,11.468464430018003,-1,0.07412361164336154,0.9990035614789413,0.0,0.5994021368873648,5.0,0.5,1.2,O5,de-protonated,,0.0,,C10 H12 O5,10.0,12.0,5.0,,,,,,,
70,201,211.09775578760204,211.0975831101972,211.0975825416391,6298221.889254048,50.13162522399995,907149.8139754137,33.650212365821055,-1,0.0026933425784212775,0.9999986837549951,0.0,0.5999992102529971,4.0,0.36363636363636365,1.4545454545454546,O4,de-protonated,,0.0,,C11 H16 O4,11.0,16.0,4.0,,,,,,,
71,202,211.13413603007274,211.1339633252671,211.13396805098907,11190744.954944586,51.19129708444438,944526.8818655644,59.288469406446616,-1,-0.02238257542584867,0.9999091020261777,0.0,0.5999454612157066,3.0,0.25,1.6666666666666667,O3,de-protonated,,0.0,,C12 H20 O3,12.0,20.0,3.0,,,,,,,
72,207,213.07702493986528,213.07685077202225,213.07684709674908,4954362.733107499,94.17890967385293,914774.4359807547,26.331182906588417,-1,0.01724858062913615,0.9999460180172263,0.0,0.5999676108103358,4.0,0.5,1.4,O5,de-protonated,,0.0,,C10 H14 O5,10.0,14.0,5.0,,,,,,,
73,208,213.1134069320421,213.11323273680833,213.11323260609907,9863109.236519163,63.534765110803136,947003.5769908538,53.5285231456304,-1,0.000613332413010665,0.9999999317432435,0.0,0.599999959045946,3.0,0.36363636363636365,1.6363636363636365,O4,de-protonated,,0.0,,C11 H18 O4,11.0,18.0,4.0,,,,,,,
74,209,213.14978712976153,213.14961290713862,213.14961811544907,6713594.632317895,57.561001530550136,920600.7323713681,35.707336030398274,-1,-0.024434997824379495,0.9998916684610638,0.0,0.5999350010766382,2.0,0.25,1.8333333333333333,O3,de-protonated,,0.0,,C12 H22 O3,12.0,22.0,3.0,,,,,,,
75,210,213.18617281386656,213.18599856385055,213.18600362479907,10237711.774258967,130.68639460882645,903615.7193651551,54.199795078281916,-1,-0.023739590959111125,0.9998977465225338,0.0,0.5999386479135203,1.0,0.15384615384615385,2.0,O2,de-protonated,,0.0,,C13 H26 O2,13.0,26.0,2.0,,,,,,,
76,215,214.10864706164165,214.10847211720727,214.10848157829906,2649481.6956692943,86.11691341066405,1038300.8047615801,14.020921819092106,-1,-0.04418830922965121,0.999645764840473,0.0,0.5997874589042838,3.0,0.4,1.7,N1 O4,de-protonated,,0.0,,C10 H17 O4 N1,10.0,17.0,4.0,1.0,,,,,,
77,216,214.1450648242951,214.144889852449,214.1448670876491,3704265.2580613475,65.56728587110045,925652.6167759337,19.80252201321966,-1,0.10630560625649953,0.9979515707219461,0.0,0.5987709424331676,2.0,0.2727272727272727,1.9090909090909092,N1 O3,de-protonated,,0.0,,C11 H21 O3 N1,11.0,21.0,3.0,1.0,,,,,,
78,218,215.05631940327234,215.05614374559104,215.05611165185908,1663653.9970311353,92.24526937177139,776334.6632604559,8.772549732756277,-1,0.14923422409849,0.995967136786243,0.0,0.5975802820717458,4.0,0.6666666666666666,1.3333333333333333,O6,de-protonated,,0.0,,C9 H12 O6,9.0,12.0,6.0,,,,,,,
79,220,215.0926753794643,215.09249969442325,215.09249716120908,13645509.69107291,64.59600997012389,904815.4575052133,72.19421366000475,-1,0.011777324663556505,0.9999748324084077,0.0,0.5999848994450446,3.0,0.5,1.6,O5,de-protonated,,0.0,,C10 H16 O5,10.0,16.0,5.0,,,,,,,
80,221,215.12904913678426,215.1288734243702,215.12888267055905,9534426.849199567,108.82030936877922,908615.3144547426,50.605242148599615,-1,-0.04297976514359696,0.9996648732288191,0.0,0.5997989239372915,2.0,0.36363636363636365,1.8181818181818181,O4,de-protonated,,0.0,,C11 H20 O4,11.0,20.0,4.0,,,,,,,
