,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S,13C,15N,17O,18O,34S
3176,1467,336.2121675926624,336.2118444497873,,2150094.476223331,69.57462862767095,627351.3016244516,11.522413949709973,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3177,1468,336.2313822559204,336.23105909333304,,3173072.6061929082,80.18580463360576,681701.5969097615,16.61983836154195,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3178,1469,337.0180557538818,337.01773178418136,,3527404.8420660845,51.71584353971768,651833.9889032885,18.7082925177466,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3179,1470,337.1063426517807,337.10601859149136,,1999375.9006949663,135.51842704413363,575328.2937061543,10.390391983512421,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3180,1472,337.1426694094594,337.1423453118956,,2305801.4393984517,71.88136707291663,606746.1655438762,12.199498768504982,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3181,1473,337.16048624870984,337.1601621328643,,2529773.1521299547,88.38559661986294,674549.1183911591,13.344822990474537,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3182,1475,337.17901497522644,337.17869084036863,,2131598.148234509,84.44134467299773,613059.3094407965,11.221782969262678,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3183,1479,337.2154296599486,337.21510548772557,,2713961.4478529617,170.90182102567763,597146.2179491662,14.494137889175693,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3184,1480,337.23326107861044,337.2329368880904,,2481019.366716656,38.85253296566243,678499.0944842917,12.945755317314413,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3185,1481,337.95043376266284,337.9501088361904,,1825033.5179412887,103.58922921224223,545519.6480311037,9.564321900070965,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3186,1482,338.0047650302257,338.0044400479949,,5517731.107078563,202.0362129452243,630811.0806152096,29.19579096839465,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3187,1487,338.17843164000084,338.17810647953746,,2195222.0888067135,57.836925501900474,673682.685985938,11.45324221969555,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3188,1488,338.1920770720826,338.1917518976148,,4006722.8445533537,70.23030650639409,665841.9926132017,21.286269686361,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3189,1491,338.2106943904227,338.2103691968477,,6847829.242506627,113.30331831942293,632936.2419771196,35.74582171052948,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3190,1492,338.24706393696744,338.2467387060656,,39207040.41672468,93.67088897130164,644791.8104099238,203.38616985163426,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3191,1494,338.64164551449846,338.64131987861185,,7762008.382601198,107.57032359040747,612385.5979593884,40.917738754684684,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3192,1495,338.64760037136347,338.6472747293647,,2842159.0790764946,85.98260767603949,676628.4579752325,14.853298795019805,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3193,1496,338.93365574950934,338.9333298138925,,1727754.8680296422,80.26089661672319,532485.6310834124,9.070143098141012,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3194,1497,338.98879321303605,338.98846722082203,,22178225.279771276,106.07343474344648,629842.0557367197,118.46456900315992,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3195,1498,339.13847523244266,339.13814908658065,,8447806.47920055,115.19309137327542,671867.5010781583,45.04675894631477,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3196,1499,339.14324252456083,339.1429163738052,,2387406.641578782,89.62292852866044,613527.7116745774,12.41632553758865,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
3197,1506,339.20148565500455,339.2011594444612,,1585240.0821693374,119.87996947903015,494434.85133452417,8.424318580410212,-1,,,,,,,,unassigned,,,,,,,,,,,,,,,,
