,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S,13C,18O,34S
54,652,184.99158924749958,184.99138724159283,184.99140339373906,3803254.851732479,68.86376881162987,899436.0706418798,19.438009494029057,-1,-0.08731295581297163,0.998617672754387,0.0,0.5991706036526322,5.0,0.5714285714285714,0.8571428571428571,S1 O4,de-protonated,,0.0,,C7 H6 O4 S1,7.0,6.0,4.0,,,1.0,,,
55,653,185.00936941793373,185.009167389227,185.00916145847907,31836141.85515001,82.56736283480878,938804.4273044829,164.60249770845442,-1,0.032056509445892736,0.9990732142371758,0.9895192764652614,0.9952516391284101,5.0,0.8571428571428571,0.8571428571428571,O6,de-protonated,,0.0,,C7 H6 O6,7.0,6.0,6.0,,,,,,
56,662,185.04575154063434,185.04554946527273,185.04554696782907,55851872.48645847,107.56135385841715,927590.732497317,280.5969887740791,-1,0.013496372654193073,0.49998347464575077,0.9203646850869849,0.6681359588222444,4.0,0.625,1.25,O5,de-protonated,,0.0,,C8 H10 O5,8.0,10.0,5.0,,,,,,
57,668,185.0821248221041,185.0819227000973,185.08193247717907,15583427.562503863,50.57163476079477,892009.2594612885,79.72543995520546,-1,-0.052825695306321516,0.9994937857969345,0.0,0.5996962714781606,3.0,0.4444444444444444,1.5555555555555556,O4,de-protonated,,0.0,,C9 H14 O4,9.0,14.0,4.0,,,,,,
58,669,185.1184942379558,185.1182920693071,185.1183179865291,11399711.2770708,93.03436802506349,927983.1662703006,58.288062666572834,-1,-0.14000355162984643,0.9964497424236702,0.0,0.5978698454542021,2.0,0.3,1.8,O3,de-protonated,,0.0,,C10 H18 O3,10.0,18.0,3.0,,,,,,
59,670,185.1548725699114,185.1546703546078,185.15470349587906,3661088.340277979,75.3970145252777,1163832.428207,18.66422819170196,-1,-0.17899232721732972,0.9942035655716934,0.0,0.596522139343016,1.0,0.18181818181818182,2.0,O2,de-protonated,,0.0,,C11 H22 O2,11.0,22.0,2.0,,,,,,
60,681,186.0127374469015,186.0125341309241,186.0125162935491,2800822.178901283,29.307669442723107,1059511.181902646,14.317550674602753,-1,0.09589341272792966,0.9983328713540657,0.9895192764652614,0.9948074333985439,5.0,0.8571428571428571,0.8571428571428571,13C1 O6,de-protonated,,1.0,653.0,C6 H6 O6 13C1,6.0,6.0,6.0,,,,1.0,,
61,684,186.04098890464067,186.04078555240028,186.04079594002908,2347970.121108933,34.86583009253047,1134896.3736954455,12.328569206204909,-1,-0.055835220187233366,0.9994344806563609,0.0,0.5996606883938165,4.0,0.7142857142857143,1.2857142857142858,N1 O5,de-protonated,,0.0,,C7 H9 O5 N1,7.0,9.0,5.0,1.0,,,,,
62,685,186.11376671988117,186.11356327422007,186.11356695872908,1718938.136462881,71.54449365248558,949560.0878479,8.628440495412576,-1,-0.01979710061437279,0.9999288882172085,0.0,0.599957332930325,2.0,0.3333333333333333,1.8888888888888888,N1 O3,de-protonated,,0.0,,C9 H17 O3 N1,9.0,17.0,3.0,1.0,,,,,
63,696,187.0250281829473,187.0248235670039,187.0248115229391,96805566.12933171,119.20398227682293,915729.435379431,491.73022788421673,-1,0.06439821909712021,0.499623895823585,0.929618492764518,0.6716217345999582,4.0,0.8571428571428571,1.1428571428571428,O6,de-protonated,,0.0,,C7 H8 O6,7.0,8.0,6.0,,,,,,
64,700,187.0614182976511,187.06121363495282,187.06119703228907,45844387.08558183,86.53072017268161,899076.686509842,233.56770371452066,-1,0.08875525235644417,0.9990500238782649,0.9979356278469238,0.9986042654657286,3.0,0.625,1.5,O5,de-protonated,,0.0,,C8 H12 O5,8.0,12.0,5.0,,,,,,
