,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S,13C,15N,18O,33S,34S
11557,15152,765.1893739992926,765.1884765892984,765.188367163819,3845624.7758126683,227.73089145108733,279738.2960590542,20.261757367437962,-1,0.14300463012537037,0.9962961916144877,0.0,0.5977777149686926,16.0,0.5882352941176471,1.1176470588235294,O20,de-protonated,,0.0,,C34 H38 O20,34.0,38.0,20.0,,,,,,,,
11558,15153,765.2045509868469,765.2036535561338,765.2036233051091,2759544.474081495,174.77199947408337,279225.635187908,14.750602535331955,-1,0.03953330034912503,0.9997164573497255,0.0,0.5998298744098353,20.0,0.4473684210526316,1.0,O17,de-protonated,,0.0,,C38 H38 O17,38.0,38.0,17.0,,,,,,,,
11559,15154,765.2257715631489,765.2248741034665,765.2247526731691,4220135.696706355,233.81227222353252,284080.2616468139,22.24226539523028,-1,0.15868579396600754,0.4977206650862838,0.7253996187124198,0.5887922465367382,15.0,0.5428571428571428,1.2,O19,de-protonated,,0.0,,C35 H42 O19,35.0,42.0,19.0,,,,,,,,
11560,15156,765.2622775978587,765.2613800883396,765.2614944981391,3628536.7175575793,252.6647010585702,290733.6380943845,19.272177913496773,-1,-0.14950418950436323,0.49797628112330455,0.6490192219379382,0.558393457449158,31.0,0.04,0.84,N2 S2 O2,de-protonated,,0.0,,C50 H42 O2 N2 S2,50.0,42.0,2.0,2.0,,2.0,,,,,
11561,15157,765.2772009729546,765.2763034430625,765.276394323809,2533756.3178929635,364.79322000571887,233971.56625783388,13.419358464198393,-1,-0.11875545509827398,0.9974443262306824,0.0,0.5984665957384094,18.0,0.375,1.15,O15,de-protonated,,0.0,,C40 H46 O15,40.0,46.0,15.0,,,,,,,,
11562,15158,766.064113777204,766.0632151729322,766.063064027349,7809410.409804344,308.02136231707203,253303.0675526436,41.68915433706432,-1,0.19730175011555745,0.4964807282283296,0.7805128205128199,0.6100935651421258,14.0,0.6923076923076923,1.1538461538461537,N3 S2 P1 O18,de-protonated,,0.0,,C26 H30 O18 N3 P1 S2,26.0,30.0,18.0,3.0,1.0,2.0,,,,,
11563,15159,766.0986493896773,766.0977507382489,766.097821612129,2099272.4142131833,183.98639213005538,295631.3346565375,11.18960053304461,-1,-0.09251283331888077,0.9984482540635939,0.984512232151317,0.9928738452986832,23.0,0.5714285714285714,0.7428571428571429,13C1 O20,de-protonated,,1.0,15147.0,C34 H26 O20 13C1,34.0,26.0,20.0,,,,1.0,,,,
11564,15159,766.0986493896773,766.0977507382489,766.0975990619289,2099272.4142131833,183.98639213005538,295631.3346565375,11.18960053304461,-1,0.19798563549513126,0.9929127516478865,0.0,0.5957476509887318,26.0,0.2564102564102564,0.7692307692307693,N1 S2 P1 O10,de-protonated,,0.0,,C39 H30 O10 N1 P1 S2,39.0,30.0,10.0,1.0,1.0,2.0,,,,,
11565,15160,766.1196803868334,766.118781706688,766.118728429989,2297700.6518270667,304.38424355414645,247393.94540537614,12.112398551443755,-1,0.06954104760339226,0.9991229067718612,0.0,0.5994737440631167,21.0,0.3333333333333333,0.9444444444444444,N1 S2 P1 O12,de-protonated,,0.0,,C36 H34 O12 N1 P1 S2,36.0,34.0,12.0,1.0,1.0,2.0,,,,,
11566,15161,766.1369949036359,766.1360961998481,766.1359734304789,16458556.873599209,157.107204545225,264270.0681545662,88.04086708288222,-1,0.16024488274249116,0.33178384058497323,0.5996860735531719,0.43894473377225274,39.0,0.061224489795918366,0.5306122448979592,N3 S1 P1 O3,de-protonated,,0.0,,C49 H26 O3 N3 P1 S1,49.0,26.0,3.0,3.0,1.0,1.0,,,,,
