,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,O/C,H/C,Heteroatom Class,Ion Type,Adduct,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,N,P,S,13C,34S
449,1059,321.0255245412656,321.0251909105749,321.02520544610906,7810649.615590681,83.63566551913912,695433.3497534129,42.08676210436033,-1,-0.045278482505957195,0.9996280737944861,0.0,0.5997768442766916,10.0,0.6428571428571429,0.7142857142857143,O9,de-protonated,,0.0,,C14 H10 O9,14.0,10.0,9.0,,,,,
450,1060,321.0619236050479,321.0615899372546,321.06159095545905,9647998.510100942,108.50182995572963,676422.5317133948,52.822508932233156,-1,-0.0031713679621278193,0.49999908753396954,0.860410506174987,0.6441636549903766,9.0,0.5333333333333333,0.9333333333333333,O8,de-protonated,,0.0,,C15 H14 O8,15.0,14.0,8.0,,,,,
451,1063,321.0983110182609,321.0979773133768,321.0979764648091,13150293.139567591,108.52018830443231,669347.3317703527,71.56066827290688,-1,0.0026427064968987057,0.9999898459462362,0.9861693107493925,0.9944616318674988,8.0,0.4375,1.125,O7,de-protonated,,0.0,,C16 H18 O7,16.0,18.0,7.0,,,,,
452,1066,321.11355382071207,321.11322010029056,321.1132326060991,1683717.3389977915,129.84999564369312,614628.5667243002,9.034273659856169,-1,-0.038945167135287014,0.9997248299182013,0.0,0.5998348979509208,12.0,0.2,0.9,O4,de-protonated,,0.0,,C20 H18 O4,20.0,18.0,4.0,,,,,
453,1068,321.1347083630582,321.1343746210733,321.13436197415905,6534793.228332447,115.06194653359279,694970.3687615012,34.989972406794095,-1,0.03938200244597609,0.9997186231842714,0.0,0.5998311739105628,7.0,0.35294117647058826,1.2941176470588236,O6,de-protonated,,0.0,,C17 H22 O6,17.0,22.0,6.0,,,,,
454,1071,321.171095771479,321.1707619924033,321.17074748350905,1818309.322056094,78.31255576996516,639069.2830960723,9.788959339218396,-1,0.045175017858328295,0.9996297712953435,0.0,0.599777862777206,6.0,0.2777777777777778,1.4444444444444444,O5,de-protonated,,0.0,,C18 H26 O5,18.0,26.0,5.0,,,,,
455,1075,322.0572064008705,322.05687171855686,322.05683992765904,1584243.827700612,158.91475088754967,562489.9995175683,8.5361811114771,-1,0.0987120715366077,0.9982335128210028,0.0,0.5989401076926016,9.0,0.5714285714285714,0.9285714285714286,N1 O8,de-protonated,,0.0,,C14 H13 O8 N1,14.0,13.0,8.0,1.0,,,,
456,1076,322.101669327115,322.10133459947906,322.1013312998791,2029402.8596537765,190.46663760304827,589569.6104935585,10.967641154804125,-1,0.010243981065645105,0.9999809591107195,0.9861693107493925,0.9944562997661888,8.0,0.4375,1.125,13C1 O7,de-protonated,,1.0,1063.0,C15 H18 O7 13C1,15.0,18.0,7.0,,,,1.0,
457,1079,322.1511088648434,322.15077408681236,322.1507403144191,1772687.5647892014,49.02265302421065,705635.2759150107,9.525505429331945,-1,0.10483413201093145,0.9980078305214224,0.0,0.5988046983128534,2.0,0.6153846153846154,1.9230769230769231,N1 O8,de-protonated,,0.0,,C13 H25 O8 N1,13.0,25.0,8.0,1.0,,,,
458,1088,323.00480125410127,323.00446560587704,323.0044700012191,5417895.6221040245,127.78286072981254,675192.9739080683,29.61661036973505,-1,-0.013607681794203654,0.9999664018919417,0.0,0.599979841135165,10.0,0.7692307692307693,0.6153846153846154,O10,de-protonated,,0.0,,C13 H8 O10,13.0,8.0,10.0,,,,,
459,1089,323.04119004981436,323.04085436449805,323.0408555105691,10322167.491356894,49.77909092764854,685464.5942240665,55.43509353860711,-1,-0.003547758814287607,0.9987439012071341,0.9652159556482894,0.9853327229835962,9.0,0.6428571428571429,0.8571428571428571,O9,de-protonated,,0.0,,C14 H12 O9,14.0,12.0,9.0,,,,,
